Customer ID,Subscription Length (Months),Customer Satisfaction Score (1-10),Daily Watch Time (Hours),Engagement Rate (1-10),Device Used Most Often,Genre Preference,Region,Payment History (On-Time/Delayed),Subscription Plan,Churn Status (Yes/No),Support Queries Logged,Age,Monthly Income ($),Promotional Offers Used,Number of Profiles Created
1,15,8,4.6,6,Mobile,Action,Europe,On-Time,Premium,Yes,10,50,4495,Yes,3
2,58,3,3,6,Laptop,Comedy,Oceania,On-Time,Basic,No,4,54,4580,No,4
3,51,9,3.94,4,Mobile,Drama,Asia,Delayed,Standard,Yes,2,34,9707,Yes,4
4,46,10,3.59,10,Smart TV,Comedy,Asia,Delayed,Basic,No,1,43,2236,Yes,1
5,42,6,3.53,5,Laptop,Action,Oceania,On-Time,Basic,Yes,3,58,6454,No,1
6,24,3,1.31,2,Smart TV,Comedy,North America,Delayed,Standard,No,1,41,5338,Yes,1
7,27,5,3.1,7,Tablet,Comedy,South America,Delayed,Standard,Yes,7,38,5035,Yes,3
8,1,6,5.75,6,Smart TV,Drama,Oceania,Delayed,Premium,No,2,66,7478,Yes,1
9,5,6,1.83,3,Tablet,Action,Asia,Delayed,Premium,No,7,54,9797,No,1
10,33,2,1.83,10,Smart TV,Sci-fi,Africa,Delayed,Standard,Yes,10,59,9884,No,2
11,8,8,5.82,4,Tablet,Sci-fi,Oceania,On-Time,Premium,No,8,19,2327,Yes,2
12,24,1,2.52,8,Tablet,Sci-fi,Oceania,On-Time,Premium,Yes,7,66,8633,Yes,1
13,39,8,1.31,8,Tablet,Romance,Oceania,On-Time,Basic,No,6,70,5800,Yes,5
14,30,6,1.49,3,Tablet,Comedy,Oceania,On-Time,Basic,Yes,1,61,3033,No,4
15,33,7,3.86,5,Tablet,Drama,Asia,On-Time,Standard,No,4,29,1608,Yes,5
16,28,5,2.39,1,Mobile,Comedy,Africa,Delayed,Basic,Yes,1,33,1309,No,1
17,58,3,3.5,8,Tablet,Action,Africa,On-Time,Premium,Yes,1,37,7166,Yes,3
18,55,3,4.7,2,Smart TV,Romance,Africa,Delayed,Standard,No,2,54,2779,Yes,5
19,15,1,5.21,7,Smart TV,Romance,Asia,On-Time,Premium,Yes,3,30,3192,No,3
20,48,7,1.28,10,Laptop,Sci-fi,Europe,Delayed,Standard,No,5,19,8605,No,1
21,32,8,3.89,2,Mobile,Romance,Europe,On-Time,Basic,Yes,0,47,4158,No,3
22,39,5,1.8,5,Laptop,Comedy,Asia,On-Time,Basic,No,4,24,1654,Yes,2
23,40,7,2.79,3,Smart TV,Action,North America,Delayed,Premium,No,5,40,8588,Yes,1
24,52,7,1.37,3,Laptop,Action,North America,Delayed,Premium,No,7,39,1766,Yes,4
25,13,6,0.29,9,Smart TV,Drama,Africa,On-Time,Basic,Yes,6,67,4146,Yes,5
26,44,5,2.56,5,Smart TV,Action,South America,On-Time,Premium,No,0,28,1358,Yes,2
27,46,3,2.62,9,Tablet,Comedy,Africa,On-Time,Standard,Yes,3,46,2900,Yes,1
28,3,7,5.12,9,Tablet,Comedy,Asia,On-Time,Standard,Yes,6,61,6668,Yes,4
29,27,10,0.42,8,Mobile,Sci-fi,South America,On-Time,Standard,No,4,56,7026,Yes,2
30,45,6,5.48,5,Mobile,Romance,Asia,Delayed,Premium,Yes,4,67,7016,No,4
31,24,9,3.26,5,Tablet,Sci-fi,South America,Delayed,Basic,No,8,24,3425,No,5
32,10,9,4.97,5,Laptop,Drama,North America,On-Time,Premium,No,10,27,3103,Yes,1
33,30,5,1.9,9,Laptop,Romance,Asia,Delayed,Standard,Yes,4,56,4263,No,2
34,23,8,3.96,8,Tablet,Romance,South America,Delayed,Premium,Yes,1,69,7159,Yes,1
35,25,1,4.13,1,Smart TV,Comedy,South America,On-Time,Basic,Yes,1,38,5158,Yes,3
36,51,5,0.53,2,Smart TV,Sci-fi,Asia,Delayed,Standard,No,2,55,9302,No,1
37,46,6,5.08,10,Mobile,Drama,Oceania,On-Time,Basic,Yes,4,57,5294,No,1
38,48,8,3.68,7,Laptop,Sci-fi,South America,On-Time,Premium,Yes,3,34,8905,No,1
39,51,8,5.41,3,Tablet,Comedy,Europe,On-Time,Premium,No,0,35,2427,No,5
40,11,5,5.48,9,Tablet,Action,North America,Delayed,Basic,Yes,2,43,5586,Yes,5
41,20,7,1.88,1,Tablet,Romance,Asia,Delayed,Basic,Yes,10,21,6479,Yes,4
42,2,2,4.48,7,Mobile,Romance,Oceania,Delayed,Standard,Yes,5,47,7038,No,2
43,36,7,0.92,4,Mobile,Sci-fi,Oceania,Delayed,Standard,Yes,10,53,6325,Yes,4
44,25,1,3.45,1,Mobile,Romance,Asia,On-Time,Premium,No,5,42,7606,No,2
45,34,4,0.51,6,Laptop,Sci-fi,Oceania,On-Time,Premium,No,10,66,8945,Yes,2
46,57,3,0.97,7,Mobile,Romance,Asia,Delayed,Standard,No,1,59,9757,No,1
47,25,5,5.33,3,Tablet,Action,North America,Delayed,Basic,No,9,69,4144,No,1
48,39,1,3.11,7,Tablet,Sci-fi,North America,Delayed,Standard,No,6,27,8389,No,2
49,7,8,1.02,1,Mobile,Comedy,South America,On-Time,Premium,Yes,0,22,9413,Yes,1
50,27,5,5.21,1,Laptop,Drama,Asia,On-Time,Standard,No,7,55,9272,Yes,1
51,51,2,1.66,8,Smart TV,Comedy,Asia,Delayed,Basic,No,1,38,3856,Yes,3
52,55,5,5.75,4,Laptop,Sci-fi,Africa,On-Time,Basic,Yes,3,24,5715,No,3
53,15,9,1.03,2,Smart TV,Comedy,North America,On-Time,Premium,No,6,28,1475,Yes,4
54,4,4,0.69,10,Laptop,Comedy,Africa,Delayed,Basic,Yes,1,33,8358,No,5
55,29,6,0.55,6,Tablet,Action,Oceania,On-Time,Standard,Yes,5,31,8981,Yes,3
56,36,5,5.8,7,Smart TV,Drama,Oceania,Delayed,Basic,No,2,63,9043,No,5
57,32,5,0.26,7,Laptop,Romance,Oceania,On-Time,Basic,Yes,9,22,3874,Yes,4
58,29,5,4.91,10,Tablet,Romance,Europe,Delayed,Standard,No,0,60,2623,No,5
59,29,9,1.79,6,Smart TV,Drama,Asia,Delayed,Standard,Yes,0,35,6722,Yes,5
60,13,7,5.39,4,Tablet,Romance,Asia,Delayed,Basic,No,6,38,7135,Yes,5
61,19,6,5.99,8,Tablet,Drama,South America,Delayed,Standard,No,2,52,8573,Yes,1
62,24,4,1.15,7,Mobile,Sci-fi,North America,On-Time,Basic,Yes,1,34,3107,No,3
63,54,6,1.98,4,Mobile,Romance,Oceania,On-Time,Basic,Yes,0,34,6912,No,3
64,5,6,5.06,3,Laptop,Comedy,Asia,On-Time,Standard,No,4,55,4445,No,4
65,23,5,5.03,5,Smart TV,Romance,Asia,On-Time,Standard,No,0,32,6049,No,1
66,12,8,5.78,6,Laptop,Drama,South America,On-Time,Premium,Yes,9,53,5362,Yes,2
67,28,6,0.52,10,Mobile,Comedy,Oceania,Delayed,Basic,Yes,3,37,7631,No,2
68,47,8,4.11,9,Mobile,Sci-fi,Europe,On-Time,Premium,No,4,33,1294,No,3
69,10,2,3.65,6,Mobile,Drama,Oceania,Delayed,Standard,Yes,6,24,2228,No,1
70,47,3,3.68,5,Smart TV,Comedy,Oceania,On-Time,Premium,Yes,9,52,8336,Yes,5
71,25,10,5.91,8,Smart TV,Sci-fi,North America,On-Time,Basic,Yes,7,56,9891,No,2
72,36,7,4.9,8,Mobile,Romance,North America,On-Time,Standard,Yes,0,29,3600,Yes,5
